,eventID ,case LoanGoal,case ApplicationType,case concept:name,case RequestedAmount,event Action,event org:resource,event concept:name,event EventOrigin,event EventID,event lifecycle:transition,event time:timestamp,day_of_week,hour,Position,next_event_time,time until next,minutes until next
660101,75999446302730,"Other, see explanation",New credit,Application_1000086665,5000.0,statechange,User_5,O_Created,Offer,OfferState_2071773136,complete,2016-08-05 15:59:58.162,Friday,15,11,2016-08-05 16:01:23.264,0 days 00:01:25.102000,1.4183666666666668
660116,75999446302731,"Other, see explanation",New credit,Application_1000086665,5000.0,statechange,User_5,O_Sent (mail and online),Offer,OfferState_388269514,complete,2016-08-05 16:01:23.264,Friday,16,12,2016-08-05 16:01:23.278,0 days 00:00:00.014000,0.00023333333333333333
660117,75999446302732,"Other, see explanation",New credit,Application_1000086665,5000.0,Deleted,User_5,W_Complete application,Workflow,Workitem_576357058,ate_abort,2016-08-05 16:01:23.278,Friday,16,13,2016-08-05 16:01:23.284,0 days 00:00:00.006000,0.0001
660118,75999446302733,"Other, see explanation",New credit,Application_1000086665,5000.0,Created,User_5,W_Call after offers,Workflow,Workitem_1624628008,schedule,2016-08-05 16:01:23.284,Friday,16,14,2016-08-05 16:01:23.286,0 days 00:00:00.002000,3.3333333333333335e-05
660119,75999446302734,"Other, see explanation",New credit,Application_1000086665,5000.0,Obtained,User_5,W_Call after offers,Workflow,Workitem_409035147,start,2016-08-05 16:01:23.286,Friday,16,15,2016-08-05 16:01:23.288,0 days 00:00:00.002000,3.3333333333333335e-05
660120,75999446302735,"Other, see explanation",New credit,Application_1000086665,5000.0,statechange,User_5,A_Complete,Application,ApplState_1103800866,complete,2016-08-05 16:01:23.288,Friday,16,16,2016-08-05 16:03:01.480,0 days 00:01:38.192000,1.6365333333333332
660132,75999446302736,"Other, see explanation",New credit,Application_1000086665,5000.0,Released,User_5,W_Call after offers,Workflow,Workitem_486281252,suspend,2016-08-05 16:03:01.480,Friday,16,17,2016-08-09 20:25:01.546,4 days 04:22:00.066000,6022.0010999999995
672282,75999446302737,"Other, see explanation",New credit,Application_1000086665,5000.0,Obtained,User_18,W_Call after offers,Workflow,Workitem_261413834,resume,2016-08-09 20:25:01.546,Tuesday,20,18,2016-08-09 20:25:32.629,0 days 00:00:31.083000,0.51805
672286,75999446302738,"Other, see explanation",New credit,Application_1000086665,5000.0,Released,User_18,W_Call after offers,Workflow,Workitem_1136881245,suspend,2016-08-09 20:25:32.629,Tuesday,20,19,2016-09-05 08:00:36.710,26 days 11:35:04.081000,38135.068016666664
761952,75999446302739,"Other, see explanation",New credit,Application_1000086665,5000.0,statechange,User_1,A_Cancelled,Application,ApplState_544389273,complete,2016-09-05 08:00:36.710,Monday,8,20,2016-09-05 08:00:36.829,0 days 00:00:00.119000,0.001983333333333333
761953,75999446302740,"Other, see explanation",New credit,Application_1000086665,5000.0,statechange,User_1,O_Cancelled,Offer,OfferState_1258287612,complete,2016-09-05 08:00:36.829,Monday,8,21,2016-09-05 08:00:36.893,0 days 00:00:00.064000,0.0010666666666666667
761954,75999446302741,"Other, see explanation",New credit,Application_1000086665,5000.0,Deleted,User_1,W_Call after offers,Workflow,Workitem_1074507345,ate_abort,2016-09-05 08:00:36.893,Monday,8,22,2016-06-02 12:14:26.844,-95 days +04:13:49.951000,-136546.16748333332
420020,49121540964352,Home improvement,New credit,Application_1000158214,12500.0,Created,User_1,A_Create Application,Application,Application_1000158214,complete,2016-06-02 12:14:26.844,Thursday,12,1,2016-06-02 12:14:26.885,0 days 00:00:00.041000,0.0006833333333333333
420021,49121540964353,Home improvement,New credit,Application_1000158214,12500.0,statechange,User_1,A_Submitted,Application,ApplState_277536765,complete,2016-06-02 12:14:26.885,Thursday,12,2,2016-06-02 12:14:27.227,0 days 00:00:00.342000,0.0057
420022,49121540964354,Home improvement,New credit,Application_1000158214,12500.0,Created,User_1,W_Handle leads,Workflow,Workitem_176988109,schedule,2016-06-02 12:14:27.227,Thursday,12,3,2016-06-02 12:15:36.752,0 days 00:01:09.525000,1.1587500000000002
420029,49121540964355,Home improvement,New credit,Application_1000158214,12500.0,Deleted,User_1,W_Handle leads,Workflow,Workitem_895982768,withdraw,2016-06-02 12:15:36.752,Thursday,12,4,2016-06-02 12:15:36.764,0 days 00:00:00.012000,0.0002
420030,49121540964356,Home improvement,New credit,Application_1000158214,12500.0,Created,User_1,W_Complete application,Workflow,Workitem_1409452454,schedule,2016-06-02 12:15:36.764,Thursday,12,5,2016-06-02 12:15:36.773,0 days 00:00:00.009000,0.00015
420031,49121540964357,Home improvement,New credit,Application_1000158214,12500.0,statechange,User_1,A_Concept,Application,ApplState_1547990892,complete,2016-06-02 12:15:36.773,Thursday,12,6,2016-06-06 10:02:16.549,3 days 21:46:39.776000,5626.662933333334
427563,49121540964358,Home improvement,New credit,Application_1000158214,12500.0,Obtained,User_32,W_Complete application,Workflow,Workitem_63191057,start,2016-06-06 10:02:16.549,Monday,10,7,2016-06-06 10:10:07.694,0 days 00:07:51.145000,7.852416666666667
427623,49121540964359,Home improvement,New credit,Application_1000158214,12500.0,statechange,User_32,A_Accepted,Application,ApplState_226397461,complete,2016-06-06 10:10:07.694,Monday,10,8,2016-06-06 10:12:02.402,0 days 00:01:54.708000,1.9118
427630,49121540964360,Home improvement,New credit,Application_1000158214,12500.0,Created,User_32,O_Create Offer,Offer,Offer_927137349,complete,2016-06-06 10:12:02.402,Monday,10,9,2016-06-06 10:12:03.657,0 days 00:00:01.255000,0.020916666666666663
427631,49121540964361,Home improvement,New credit,Application_1000158214,12500.0,statechange,User_32,O_Created,Offer,OfferState_268883758,complete,2016-06-06 10:12:03.657,Monday,10,10,2016-06-06 10:16:46.835,0 days 00:04:43.178000,4.719633333333333
427668,49121540964362,Home improvement,New credit,Application_1000158214,12500.0,statechange,User_32,O_Sent (mail and online),Offer,OfferState_1948801867,complete,2016-06-06 10:16:46.835,Monday,10,11,2016-06-06 10:16:46.869,0 days 00:00:00.034000,0.0005666666666666667
427669,49121540964363,Home improvement,New credit,Application_1000158214,12500.0,Deleted,User_32,W_Complete application,Workflow,Workitem_518835990,complete,2016-06-06 10:16:46.869,Monday,10,12,2016-06-06 10:16:46.888,0 days 00:00:00.019000,0.00031666666666666665
427670,49121540964364,Home improvement,New credit,Application_1000158214,12500.0,Created,User_32,W_Call after offers,Workflow,Workitem_824752071,schedule,2016-06-06 10:16:46.888,Monday,10,13,2016-06-06 10:16:46.890,0 days 00:00:00.002000,3.3333333333333335e-05
427671,49121540964365,Home improvement,New credit,Application_1000158214,12500.0,Obtained,User_32,W_Call after offers,Workflow,Workitem_62385800,start,2016-06-06 10:16:46.890,Monday,10,14,2016-06-06 10:16:46.892,0 days 00:00:00.002000,3.3333333333333335e-05
427672,49121540964366,Home improvement,New credit,Application_1000158214,12500.0,statechange,User_32,A_Complete,Application,ApplState_658801120,complete,2016-06-06 10:16:46.892,Monday,10,15,2016-06-06 10:18:42.197,0 days 00:01:55.305000,1.92175
427687,49121540964367,Home improvement,New credit,Application_1000158214,12500.0,Released,User_32,W_Call after offers,Workflow,Workitem_1002498045,suspend,2016-06-06 10:18:42.197,Monday,10,16,2016-06-09 11:54:35.619,3 days 01:35:53.422000,4415.890366666667
442379,49121540964368,Home improvement,New credit,Application_1000158214,12500.0,Deleted,User_118,W_Call after offers,Workflow,Workitem_151330875,ate_abort,2016-06-09 11:54:35.619,Thursday,11,17,2016-06-09 11:54:35.626,0 days 00:00:00.007000,0.00011666666666666667
442380,49121540964369,Home improvement,New credit,Application_1000158214,12500.0,Created,User_118,W_Validate application,Workflow,Workitem_377296609,schedule,2016-06-09 11:54:35.626,Thursday,11,18,2016-06-09 11:54:35.628,0 days 00:00:00.002000,3.3333333333333335e-05
442381,49121540964370,Home improvement,New credit,Application_1000158214,12500.0,Obtained,User_118,W_Validate application,Workflow,Workitem_735290570,start,2016-06-09 11:54:35.628,Thursday,11,19,2016-06-09 11:54:36.870,0 days 00:00:01.242000,0.0207
442382,49121540964371,Home improvement,New credit,Application_1000158214,12500.0,statechange,User_118,A_Validating,Application,ApplState_1806387445,complete,2016-06-09 11:54:36.870,Thursday,11,20,2016-06-09 11:55:13.652,0 days 00:00:36.782000,0.6130333333333333
442389,49121540964372,Home improvement,New credit,Application_1000158214,12500.0,statechange,User_118,O_Returned,Offer,OfferState_54186963,complete,2016-06-09 11:55:13.652,Thursday,11,21,2016-06-09 11:56:08.765,0 days 00:00:55.113000,0.91855
442405,49121540964373,Home improvement,New credit,Application_1000158214,12500.0,Released,User_118,W_Validate application,Workflow,Workitem_705745645,suspend,2016-06-09 11:56:08.765,Thursday,11,22,2016-06-10 13:02:01.275,1 days 01:05:52.510000,1505.8751666666665
446382,49121540964374,Home improvement,New credit,Application_1000158214,12500.0,statechange,User_90,O_Accepted,Offer,OfferState_974301742,complete,2016-06-10 13:02:01.275,Friday,13,23,2016-06-10 13:02:01.278,0 days 00:00:00.003000,5e-05
446383,49121540964375,Home improvement,New credit,Application_1000158214,12500.0,statechange,User_90,A_Pending,Application,ApplState_656109704,complete,2016-06-10 13:02:01.278,Friday,13,24,2016-06-10 13:02:01.282,0 days 00:00:00.004000,6.666666666666667e-05
446384,49121540964376,Home improvement,New credit,Application_1000158214,12500.0,Deleted,User_90,W_Validate application,Workflow,Workitem_408959839,ate_abort,2016-06-10 13:02:01.282,Friday,13,25,2016-04-04 17:56:37.675,-67 days +04:54:36.393000,-96185.39345
254465,31297426685952,Car,New credit,Application_1000311556,45000.0,Created,User_71,A_Create Application,Application,Application_1000311556,complete,2016-04-04 17:56:37.675,Monday,17,1,2016-04-04 17:56:37.688,0 days 00:00:00.013000,0.00021666666666666666
254466,31297426685953,Car,New credit,Application_1000311556,45000.0,Created,User_71,W_Complete application,Workflow,Workitem_1212746755,schedule,2016-04-04 17:56:37.688,Monday,17,2,2016-04-04 17:56:37.693,0 days 00:00:00.005000,8.333333333333333e-05
254467,31297426685954,Car,New credit,Application_1000311556,45000.0,Obtained,User_71,W_Complete application,Workflow,Workitem_95061077,start,2016-04-04 17:56:37.693,Monday,17,3,2016-04-04 17:56:37.696,0 days 00:00:00.003000,5e-05
254468,31297426685955,Car,New credit,Application_1000311556,45000.0,statechange,User_71,A_Concept,Application,ApplState_1508577231,complete,2016-04-04 17:56:37.696,Monday,17,4,2016-04-04 18:06:29.479,0 days 00:09:51.783000,9.86305
254494,31297426685956,Car,New credit,Application_1000311556,45000.0,statechange,User_71,A_Accepted,Application,ApplState_189615352,complete,2016-04-04 18:06:29.479,Monday,18,5,2016-04-04 18:12:03.476,0 days 00:05:33.997000,5.5666166666666665
254499,31297426685957,Car,New credit,Application_1000311556,45000.0,Created,User_71,O_Create Offer,Offer,Offer_2032690166,complete,2016-04-04 18:12:03.476,Monday,18,6,2016-04-04 18:12:04.732,0 days 00:00:01.256000,0.020933333333333335
254500,31297426685958,Car,New credit,Application_1000311556,45000.0,statechange,User_71,O_Created,Offer,OfferState_53557494,complete,2016-04-04 18:12:04.732,Monday,18,7,2016-04-04 18:15:45.527,0 days 00:03:40.795000,3.6799166666666663
254503,31297426685959,Car,New credit,Application_1000311556,45000.0,statechange,User_71,O_Sent (mail and online),Offer,OfferState_92937008,complete,2016-04-04 18:15:45.527,Monday,18,8,2016-04-04 18:15:45.563,0 days 00:00:00.036000,0.0006
254504,31297426685960,Car,New credit,Application_1000311556,45000.0,Deleted,User_71,W_Complete application,Workflow,Workitem_1256293080,complete,2016-04-04 18:15:45.563,Monday,18,9,2016-04-04 18:15:45.576,0 days 00:00:00.013000,0.00021666666666666666
254505,31297426685961,Car,New credit,Application_1000311556,45000.0,Created,User_71,W_Call after offers,Workflow,Workitem_422959011,schedule,2016-04-04 18:15:45.576,Monday,18,10,2016-04-04 18:15:45.581,0 days 00:00:00.005000,8.333333333333333e-05
254506,31297426685962,Car,New credit,Application_1000311556,45000.0,Obtained,User_71,W_Call after offers,Workflow,Workitem_877449170,start,2016-04-04 18:15:45.581,Monday,18,11,2016-04-04 18:15:45.588,0 days 00:00:00.007000,0.00011666666666666667
254507,31297426685963,Car,New credit,Application_1000311556,45000.0,statechange,User_71,A_Complete,Application,ApplState_1579394275,complete,2016-04-04 18:15:45.588,Monday,18,12,2016-04-04 18:17:40.999,0 days 00:01:55.411000,1.9235166666666668
254511,31297426685964,Car,New credit,Application_1000311556,45000.0,Released,User_71,W_Call after offers,Workflow,Workitem_1768521088,suspend,2016-04-04 18:17:40.999,Monday,18,13,2016-04-08 16:03:19.923,3 days 21:45:38.924000,5625.648733333333
269166,31297426685965,Car,New credit,Application_1000311556,45000.0,Obtained,User_16,W_Call after offers,Workflow,Workitem_2001467152,resume,2016-04-08 16:03:19.923,Friday,16,14,2016-04-08 16:03:40.339,0 days 00:00:20.416000,0.34026666666666666
269167,31297426685966,Car,New credit,Application_1000311556,45000.0,Released,User_16,W_Call after offers,Workflow,Workitem_1508760141,suspend,2016-04-08 16:03:40.339,Friday,16,15,2016-05-05 08:00:48.903,26 days 15:57:08.564000,38397.14273333333
341561,31297426685967,Car,New credit,Application_1000311556,45000.0,statechange,User_1,A_Cancelled,Application,ApplState_1231780915,complete,2016-05-05 08:00:48.903,Thursday,8,16,2016-05-05 08:00:48.950,0 days 00:00:00.047000,0.0007833333333333334
341562,31297426685968,Car,New credit,Application_1000311556,45000.0,statechange,User_1,O_Cancelled,Offer,OfferState_798260933,complete,2016-05-05 08:00:48.950,Thursday,8,17,2016-05-05 08:00:48.963,0 days 00:00:00.013000,0.00021666666666666666
341563,31297426685969,Car,New credit,Application_1000311556,45000.0,Deleted,User_1,W_Call after offers,Workflow,Workitem_1728373040,ate_abort,2016-05-05 08:00:48.963,Thursday,8,18,2016-09-15 18:39:17.758,133 days 10:38:28.795000,192158.47991666666
808601,94248762343424,"Other, see explanation",New credit,Application_1000334415,5000.0,Created,User_1,A_Create Application,Application,Application_1000334415,complete,2016-09-15 18:39:17.758,Thursday,18,1,2016-09-15 18:39:17.793,0 days 00:00:00.035000,0.0005833333333333334
808602,94248762343425,"Other, see explanation",New credit,Application_1000334415,5000.0,statechange,User_1,A_Submitted,Application,ApplState_1495860826,complete,2016-09-15 18:39:17.793,Thursday,18,2,2016-09-15 18:39:17.950,0 days 00:00:00.157000,0.002616666666666667
808603,94248762343426,"Other, see explanation",New credit,Application_1000334415,5000.0,Created,User_1,W_Handle leads,Workflow,Workitem_276310869,schedule,2016-09-15 18:39:17.950,Thursday,18,3,2016-09-15 18:39:41.600,0 days 00:00:23.650000,0.39416666666666667
808604,94248762343427,"Other, see explanation",New credit,Application_1000334415,5000.0,Deleted,User_1,W_Handle leads,Workflow,Workitem_39708851,withdraw,2016-09-15 18:39:41.600,Thursday,18,4,2016-09-15 18:39:41.607,0 days 00:00:00.007000,0.00011666666666666667
808605,94248762343428,"Other, see explanation",New credit,Application_1000334415,5000.0,Created,User_1,W_Complete application,Workflow,Workitem_389457892,schedule,2016-09-15 18:39:41.607,Thursday,18,5,2016-09-15 18:39:41.610,0 days 00:00:00.003000,5e-05
808606,94248762343429,"Other, see explanation",New credit,Application_1000334415,5000.0,statechange,User_1,A_Concept,Application,ApplState_1449652462,complete,2016-09-15 18:39:41.610,Thursday,18,6,2016-09-16 12:16:13.728,0 days 17:36:32.118000,1056.5353
810549,94248762343430,"Other, see explanation",New credit,Application_1000334415,5000.0,Obtained,User_132,W_Complete application,Workflow,Workitem_1044621236,start,2016-09-16 12:16:13.728,Friday,12,7,2016-09-16 12:18:25.724,0 days 00:02:11.996000,2.1999333333333335
810560,94248762343431,"Other, see explanation",New credit,Application_1000334415,5000.0,Released,User_132,W_Complete application,Workflow,Workitem_1600760167,suspend,2016-09-16 12:18:25.724,Friday,12,8,2016-09-16 13:23:45.017,0 days 01:05:19.293000,65.32155
810900,94248762343432,"Other, see explanation",New credit,Application_1000334415,5000.0,Obtained,User_91,W_Complete application,Workflow,Workitem_317550882,resume,2016-09-16 13:23:45.017,Friday,13,9,2016-09-16 13:31:41.123,0 days 00:07:56.106000,7.9351
810950,94248762343433,"Other, see explanation",New credit,Application_1000334415,5000.0,statechange,User_91,A_Accepted,Application,ApplState_135633736,complete,2016-09-16 13:31:41.123,Friday,13,10,2016-09-16 13:35:15.403,0 days 00:03:34.280000,3.5713333333333335
810977,94248762343434,"Other, see explanation",New credit,Application_1000334415,5000.0,Created,User_91,O_Create Offer,Offer,Offer_2062524462,complete,2016-09-16 13:35:15.403,Friday,13,11,2016-09-16 13:35:15.934,0 days 00:00:00.531000,0.00885
810978,94248762343435,"Other, see explanation",New credit,Application_1000334415,5000.0,statechange,User_91,O_Created,Offer,OfferState_1852483606,complete,2016-09-16 13:35:15.934,Friday,13,12,2016-09-16 13:36:11.620,0 days 00:00:55.686000,0.9281
810994,94248762343436,"Other, see explanation",New credit,Application_1000334415,5000.0,statechange,User_91,O_Sent (mail and online),Offer,OfferState_2092659738,complete,2016-09-16 13:36:11.620,Friday,13,13,2016-09-16 13:36:11.632,0 days 00:00:00.012000,0.0002
810995,94248762343437,"Other, see explanation",New credit,Application_1000334415,5000.0,Deleted,User_91,W_Complete application,Workflow,Workitem_141369830,complete,2016-09-16 13:36:11.632,Friday,13,14,2016-09-16 13:36:11.640,0 days 00:00:00.008000,0.00013333333333333334
810996,94248762343438,"Other, see explanation",New credit,Application_1000334415,5000.0,Created,User_91,W_Call after offers,Workflow,Workitem_185253448,schedule,2016-09-16 13:36:11.640,Friday,13,15,2016-09-16 13:36:11.641,0 days 00:00:00.001000,1.6666666666666667e-05
810997,94248762343439,"Other, see explanation",New credit,Application_1000334415,5000.0,Obtained,User_91,W_Call after offers,Workflow,Workitem_147664492,start,2016-09-16 13:36:11.641,Friday,13,16,2016-09-16 13:36:11.643,0 days 00:00:00.002000,3.3333333333333335e-05
810998,94248762343440,"Other, see explanation",New credit,Application_1000334415,5000.0,statechange,User_91,A_Complete,Application,ApplState_1173449470,complete,2016-09-16 13:36:11.643,Friday,13,17,2016-09-16 13:38:30.411,0 days 00:02:18.768000,2.3128
811018,94248762343441,"Other, see explanation",New credit,Application_1000334415,5000.0,Released,User_91,W_Call after offers,Workflow,Workitem_2124679507,suspend,2016-09-16 13:38:30.411,Friday,13,18,2016-09-20 08:41:51.127,3 days 19:03:20.716000,5463.345266666667
821000,94248762343442,"Other, see explanation",New credit,Application_1000334415,5000.0,Obtained,User_5,W_Call after offers,Workflow,Workitem_146351515,resume,2016-09-20 08:41:51.127,Tuesday,8,19,2016-09-20 08:42:08.671,0 days 00:00:17.544000,0.2924
821002,94248762343443,"Other, see explanation",New credit,Application_1000334415,5000.0,Released,User_5,W_Call after offers,Workflow,Workitem_1228996204,suspend,2016-09-20 08:42:08.671,Tuesday,8,20,2016-09-21 16:06:50.226,1 days 07:24:41.555000,1884.6925833333332
829297,94248762343444,"Other, see explanation",New credit,Application_1000334415,5000.0,Deleted,User_119,W_Call after offers,Workflow,Workitem_898996653,ate_abort,2016-09-21 16:06:50.226,Wednesday,16,21,2016-09-21 16:06:50.232,0 days 00:00:00.006000,0.0001
829298,94248762343445,"Other, see explanation",New credit,Application_1000334415,5000.0,Created,User_119,W_Validate application,Workflow,Workitem_1825276704,schedule,2016-09-21 16:06:50.232,Wednesday,16,22,2016-09-21 16:06:50.234,0 days 00:00:00.002000,3.3333333333333335e-05
829299,94248762343446,"Other, see explanation",New credit,Application_1000334415,5000.0,Obtained,User_119,W_Validate application,Workflow,Workitem_1741145193,start,2016-09-21 16:06:50.234,Wednesday,16,23,2016-09-21 16:06:51.007,0 days 00:00:00.773000,0.012883333333333333
829300,94248762343447,"Other, see explanation",New credit,Application_1000334415,5000.0,statechange,User_119,A_Validating,Application,ApplState_26354720,complete,2016-09-21 16:06:51.007,Wednesday,16,24,2016-09-21 16:06:59.357,0 days 00:00:08.350000,0.13916666666666666
829306,94248762343448,"Other, see explanation",New credit,Application_1000334415,5000.0,statechange,User_119,O_Returned,Offer,OfferState_1251112099,complete,2016-09-21 16:06:59.357,Wednesday,16,25,2016-09-21 16:09:13.094,0 days 00:02:13.737000,2.2289499999999998
829324,94248762343449,"Other, see explanation",New credit,Application_1000334415,5000.0,Deleted,User_119,W_Validate application,Workflow,Workitem_1115948551,complete,2016-09-21 16:09:13.094,Wednesday,16,26,2016-09-21 16:09:13.100,0 days 00:00:00.006000,0.0001
829325,94248762343450,"Other, see explanation",New credit,Application_1000334415,5000.0,Created,User_119,W_Call incomplete files,Workflow,Workitem_1348871453,schedule,2016-09-21 16:09:13.100,Wednesday,16,27,2016-09-21 16:09:13.102,0 days 00:00:00.002000,3.3333333333333335e-05
829326,94248762343451,"Other, see explanation",New credit,Application_1000334415,5000.0,Obtained,User_119,W_Call incomplete files,Workflow,Workitem_1538463576,start,2016-09-21 16:09:13.102,Wednesday,16,28,2016-09-21 16:09:13.104,0 days 00:00:00.002000,3.3333333333333335e-05
829327,94248762343452,"Other, see explanation",New credit,Application_1000334415,5000.0,statechange,User_119,A_Incomplete,Application,ApplState_1989183604,complete,2016-09-21 16:09:13.104,Wednesday,16,29,2016-09-21 16:09:23.400,0 days 00:00:10.296000,0.1716
829333,94248762343453,"Other, see explanation",New credit,Application_1000334415,5000.0,Released,User_119,W_Call incomplete files,Workflow,Workitem_2041030544,suspend,2016-09-21 16:09:23.400,Wednesday,16,30,2016-09-21 19:26:22.869,0 days 03:16:59.469000,196.99114999999998
830027,94248762343454,"Other, see explanation",New credit,Application_1000334415,5000.0,Obtained,User_58,W_Call incomplete files,Workflow,Workitem_640866117,resume,2016-09-21 19:26:22.869,Wednesday,19,31,2016-09-21 19:27:46.952,0 days 00:01:24.083000,1.4013833333333332
830029,94248762343455,"Other, see explanation",New credit,Application_1000334415,5000.0,Released,User_58,W_Call incomplete files,Workflow,Workitem_2063325182,suspend,2016-09-21 19:27:46.952,Wednesday,19,32,2016-09-22 10:14:44.108,0 days 14:46:57.156000,886.9526000000001
832046,94248762343456,"Other, see explanation",New credit,Application_1000334415,5000.0,Deleted,User_121,W_Call incomplete files,Workflow,Workitem_2086992075,ate_abort,2016-09-22 10:14:44.108,Thursday,10,33,2016-09-22 10:14:44.115,0 days 00:00:00.007000,0.00011666666666666667
832047,94248762343457,"Other, see explanation",New credit,Application_1000334415,5000.0,Created,User_121,W_Validate application,Workflow,Workitem_771319788,schedule,2016-09-22 10:14:44.115,Thursday,10,34,2016-09-22 10:14:44.116,0 days 00:00:00.001000,1.6666666666666667e-05
832048,94248762343458,"Other, see explanation",New credit,Application_1000334415,5000.0,Obtained,User_121,W_Validate application,Workflow,Workitem_986975300,start,2016-09-22 10:14:44.116,Thursday,10,35,2016-09-22 10:14:44.169,0 days 00:00:00.053000,0.0008833333333333333
832049,94248762343459,"Other, see explanation",New credit,Application_1000334415,5000.0,statechange,User_121,A_Validating,Application,ApplState_873431833,complete,2016-09-22 10:14:44.169,Thursday,10,36,2016-09-22 10:14:50.121,0 days 00:00:05.952000,0.0992
832055,94248762343460,"Other, see explanation",New credit,Application_1000334415,5000.0,Released,User_121,W_Validate application,Workflow,Workitem_227746610,suspend,2016-09-22 10:14:50.121,Thursday,10,37,2016-09-29 09:45:34.349,6 days 23:30:44.228000,10050.737133333334
857156,94248762343461,"Other, see explanation",New credit,Application_1000334415,5000.0,statechange,User_68,A_Denied,Application,ApplState_1234309188,complete,2016-09-29 09:45:34.349,Thursday,9,38,2016-09-29 09:45:34.380,0 days 00:00:00.031000,0.0005166666666666667
857157,94248762343462,"Other, see explanation",New credit,Application_1000334415,5000.0,statechange,User_68,O_Refused,Offer,OfferState_1555577038,complete,2016-09-29 09:45:34.380,Thursday,9,39,2016-09-29 09:45:34.389,0 days 00:00:00.009000,0.00015
857158,94248762343463,"Other, see explanation",New credit,Application_1000334415,5000.0,Deleted,User_68,W_Validate application,Workflow,Workitem_315515737,ate_abort,2016-09-29 09:45:34.389,Thursday,9,40,2016-03-17 13:57:10.159,-196 days +04:11:35.770000,-281988.40383333334
206152,25713969201152,Existing loan takeover,New credit,Application_1000339879,37500.0,Created,User_1,A_Create Application,Application,Application_1000339879,complete,2016-03-17 13:57:10.159,Thursday,13,1,2016-03-17 13:57:10.201,0 days 00:00:00.042000,0.0007
206153,25713969201153,Existing loan takeover,New credit,Application_1000339879,37500.0,statechange,User_1,A_Submitted,Application,ApplState_778367888,complete,2016-03-17 13:57:10.201,Thursday,13,2,2016-03-17 13:57:10.478,0 days 00:00:00.277000,0.004616666666666667
206154,25713969201154,Existing loan takeover,New credit,Application_1000339879,37500.0,Created,User_1,W_Handle leads,Workflow,Workitem_1463338913,schedule,2016-03-17 13:57:10.478,Thursday,13,3,2016-03-17 13:58:21.610,0 days 00:01:11.132000,1.1855333333333333
206156,25713969201155,Existing loan takeover,New credit,Application_1000339879,37500.0,Deleted,User_1,W_Handle leads,Workflow,Workitem_2039736457,withdraw,2016-03-17 13:58:21.610,Thursday,13,4,2016-03-17 13:58:21.619,0 days 00:00:00.009000,0.00015
